image_path,xmin,ymin,xmax,ymax,label,score
Las19_sliced_0_0_2000_2000.jpg,1396.0,1427.0,1485.0,1518.0,Tree,0.7478396892547607
Las19_sliced_0_0_2000_2000.jpg,1856.0,1688.0,1917.0,1752.0,Tree,0.7407870888710022
Las19_sliced_0_0_2000_2000.jpg,903.0,1252.0,988.0,1333.0,Tree,0.7206193804740906
Las19_sliced_0_0_2000_2000.jpg,1004.0,1465.0,1074.0,1531.0,Tree,0.7169516682624817
Las19_sliced_0_0_2000_2000.jpg,1582.0,1402.0,1647.0,1466.0,Tree,0.6971474885940552
Las19_sliced_0_0_2000_2000.jpg,668.0,1283.0,777.0,1378.0,Tree,0.6810909509658813
Las19_sliced_0_0_2000_2000.jpg,699.0,1432.0,794.0,1515.0,Tree,0.6766395568847656
Las19_sliced_0_0_2000_2000.jpg,1055.0,1596.0,1111.0,1657.0,Tree,0.6736001372337341
Las19_sliced_0_0_2000_2000.jpg,206.0,1239.0,310.0,1333.0,Tree,0.6733903288841248
Las19_sliced_0_0_2000_2000.jpg,1836.0,954.0,1903.0,1020.0,Tree,0.6721966862678528
Las19_sliced_0_0_2000_2000.jpg,460.0,1773.0,587.0,1893.0,Tree,0.6596595644950867
Las19_sliced_0_0_2000_2000.jpg,523.0,1668.0,599.0,1739.0,Tree,0.6550582647323608
Las19_sliced_0_0_2000_2000.jpg,1676.0,1711.0,1771.0,1798.0,Tree,0.6524317264556885
Las19_sliced_0_0_2000_2000.jpg,1917.0,1006.0,1983.0,1063.0,Tree,0.6514759063720703
Las19_sliced_0_0_2000_2000.jpg,1671.0,1416.0,1735.0,1480.0,Tree,0.6509926319122314
Las19_sliced_0_0_2000_2000.jpg,1556.0,1618.0,1636.0,1713.0,Tree,0.6480242609977722
Las19_sliced_0_0_2000_2000.jpg,1160.0,1186.0,1272.0,1293.0,Tree,0.6458225250244141
Las19_sliced_0_0_2000_2000.jpg,1556.0,1481.0,1649.0,1575.0,Tree,0.6410695314407349
Las19_sliced_0_0_2000_2000.jpg,1521.0,1319.0,1602.0,1394.0,Tree,0.6389797329902649
Las19_sliced_0_0_2000_2000.jpg,1911.0,1107.0,1995.0,1201.0,Tree,0.6366255879402161
Las19_sliced_0_0_2000_2000.jpg,1301.0,1409.0,1370.0,1484.0,Tree,0.6352618336677551
Las19_sliced_0_0_2000_2000.jpg,633.0,1836.0,724.0,1919.0,Tree,0.6323364973068237
Las19_sliced_0_0_2000_2000.jpg,708.0,1928.0,805.0,1999.0,Tree,0.6274300217628479
Las19_sliced_0_0_2000_2000.jpg,357.0,1556.0,427.0,1624.0,Tree,0.6262599229812622
Las19_sliced_0_0_2000_2000.jpg,1854.0,1455.0,1932.0,1530.0,Tree,0.6170622110366821
Las19_sliced_0_0_2000_2000.jpg,341.0,1730.0,441.0,1828.0,Tree,0.6138417720794678
Las19_sliced_0_0_2000_2000.jpg,258.0,1612.0,346.0,1703.0,Tree,0.612645149230957
Las19_sliced_0_0_2000_2000.jpg,754.0,1793.0,806.0,1842.0,Tree,0.6113525629043579
Las19_sliced_0_0_2000_2000.jpg,570.0,1359.0,673.0,1455.0,Tree,0.6057039499282837
Las19_sliced_0_0_2000_2000.jpg,1187.0,1069.0,1261.0,1140.0,Tree,0.6036186814308167
Las19_sliced_0_0_2000_2000.jpg,1481.0,1222.0,1560.0,1291.0,Tree,0.6032688617706299
Las19_sliced_0_0_2000_2000.jpg,602.0,1100.0,688.0,1181.0,Tree,0.603205680847168
