image_path,xmin,ymin,xmax,ymax,label
Las19_sliced_0_0_2000_2000.jpg,460.0,1028.0,605.0,1142.0,Tree
Las19_sliced_0_0_2000_2000.jpg,677.0,1025.0,777.0,1142.0,Tree
Las19_sliced_0_0_2000_2000.jpg,577.0,1073.0,686.0,1187.0,Tree
Las19_sliced_0_0_2000_2000.jpg,299.0,933.0,426.0,1074.0,Tree
Las19_sliced_0_0_2000_2000.jpg,756.0,1157.0,907.0,1273.0,Tree
Las19_sliced_0_0_2000_2000.jpg,808.0,1071.0,903.0,1154.0,Tree
Las19_sliced_0_0_2000_2000.jpg,888.0,1096.0,1010.0,1180.0,Tree
Las19_sliced_0_0_2000_2000.jpg,868.0,1247.0,997.0,1343.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1021.0,1063.0,1126.0,1181.0,Tree
Las19_sliced_0_0_2000_2000.jpg,997.0,1184.0,1128.0,1298.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1180.0,1070.0,1264.0,1138.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1152.0,1162.0,1290.0,1310.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1034.0,1294.0,1157.0,1384.0,Tree
Las19_sliced_0_0_2000_2000.jpg,440.0,1145.0,599.0,1290.0,Tree
Las19_sliced_0_0_2000_2000.jpg,245.0,1075.0,391.0,1170.0,Tree
Las19_sliced_0_0_2000_2000.jpg,166.0,990.0,269.0,1126.0,Tree
Las19_sliced_0_0_2000_2000.jpg,36.0,995.0,154.0,1125.0,Tree
Las19_sliced_0_0_2000_2000.jpg,95.0,1134.0,211.0,1251.0,Tree
Las19_sliced_0_0_2000_2000.jpg,47.0,1236.0,158.0,1366.0,Tree
Las19_sliced_0_0_2000_2000.jpg,204.0,1247.0,312.0,1342.0,Tree
Las19_sliced_0_0_2000_2000.jpg,353.0,1295.0,501.0,1435.0,Tree
Las19_sliced_0_0_2000_2000.jpg,128.0,1358.0,270.0,1453.0,Tree
Las19_sliced_0_0_2000_2000.jpg,555.0,1353.0,689.0,1471.0,Tree
Las19_sliced_0_0_2000_2000.jpg,646.0,1271.0,793.0,1382.0,Tree
Las19_sliced_0_0_2000_2000.jpg,536.0,1508.0,679.0,1610.0,Tree
Las19_sliced_0_0_2000_2000.jpg,691.0,1426.0,804.0,1525.0,Tree
Las19_sliced_0_0_2000_2000.jpg,811.0,1377.0,917.0,1461.0,Tree
Las19_sliced_0_0_2000_2000.jpg,923.0,1416.0,1011.0,1526.0,Tree
Las19_sliced_0_0_2000_2000.jpg,964.0,1459.0,1076.0,1532.0,Tree
Las19_sliced_0_0_2000_2000.jpg,796.0,1463.0,913.0,1571.0,Tree
Las19_sliced_0_0_2000_2000.jpg,47.0,1436.0,158.0,1522.0,Tree
Las19_sliced_0_0_2000_2000.jpg,121.0,1477.0,231.0,1569.0,Tree
Las19_sliced_0_0_2000_2000.jpg,178.0,1507.0,277.0,1679.0,Tree
Las19_sliced_0_0_2000_2000.jpg,293.0,1534.0,368.0,1583.0,Tree
Las19_sliced_0_0_2000_2000.jpg,341.0,1566.0,429.0,1643.0,Tree
Las19_sliced_0_0_2000_2000.jpg,253.0,1618.0,360.0,1720.0,Tree
Las19_sliced_0_0_2000_2000.jpg,183.0,1756.0,296.0,1834.0,Tree
Las19_sliced_0_0_2000_2000.jpg,67.0,1717.0,165.0,1832.0,Tree
Las19_sliced_0_0_2000_2000.jpg,311.0,1717.0,446.0,1828.0,Tree
Las19_sliced_0_0_2000_2000.jpg,276.0,1824.0,400.0,1917.0,Tree
Las19_sliced_0_0_2000_2000.jpg,437.0,1591.0,554.0,1709.0,Tree
Las19_sliced_0_0_2000_2000.jpg,503.0,1664.0,610.0,1745.0,Tree
Las19_sliced_0_0_2000_2000.jpg,445.0,1756.0,609.0,1911.0,Tree
Las19_sliced_0_0_2000_2000.jpg,614.0,1705.0,729.0,1790.0,Tree
Las19_sliced_0_0_2000_2000.jpg,600.0,1808.0,744.0,1954.0,Tree
Las19_sliced_0_0_2000_2000.jpg,209.0,1942.0,344.0,2000.0,Tree
Las19_sliced_0_0_2000_2000.jpg,408.0,1921.0,568.0,2000.0,Tree
Las19_sliced_0_0_2000_2000.jpg,666.0,1895.0,824.0,2000.0,Tree
Las19_sliced_0_0_2000_2000.jpg,646.0,1588.0,772.0,1698.0,Tree
Las19_sliced_0_0_2000_2000.jpg,691.0,1528.0,827.0,1612.0,Tree
Las19_sliced_0_0_2000_2000.jpg,742.0,1627.0,901.0,1775.0,Tree
Las19_sliced_0_0_2000_2000.jpg,744.0,1788.0,816.0,1871.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1269.0,1896.0,1427.0,2000.0,Tree
Las19_sliced_0_0_2000_2000.jpg,867.0,1948.0,972.0,2000.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1012.0,1762.0,1116.0,1882.0,Tree
Las19_sliced_0_0_2000_2000.jpg,987.0,1897.0,1098.0,2000.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1090.0,1810.0,1186.0,1952.0,Tree
Las19_sliced_0_0_2000_2000.jpg,975.0,1541.0,1065.0,1641.0,Tree
Las19_sliced_0_0_2000_2000.jpg,997.0,1646.0,1067.0,1724.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1046.0,1589.0,1117.0,1665.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1189.0,1876.0,1273.0,1946.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1181.0,1947.0,1269.0,2000.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1173.0,1742.0,1292.0,1853.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1144.0,1645.0,1264.0,1730.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1255.0,1538.0,1331.0,1638.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1173.0,1359.0,1295.0,1501.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1238.0,1328.0,1319.0,1398.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1298.0,1399.0,1367.0,1490.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1283.0,1138.0,1374.0,1262.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1292.0,1022.0,1415.0,1113.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1361.0,1114.0,1479.0,1215.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1398.0,1203.0,1483.0,1281.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1124.0,1578.0,1252.0,1650.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1067.0,1470.0,1234.0,1591.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1478.0,1046.0,1592.0,1170.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1590.0,1008.0,1713.0,1134.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1675.0,950.0,1796.0,1031.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1756.0,872.0,1846.0,946.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1870.0,860.0,1978.0,957.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1801.0,951.0,1914.0,1031.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1888.0,1005.0,2000.0,1071.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1807.0,1057.0,1920.0,1160.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1904.0,1110.0,1998.0,1231.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1742.0,1142.0,1903.0,1261.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1546.0,1120.0,1706.0,1265.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1477.0,1205.0,1579.0,1307.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1353.0,1289.0,1502.0,1406.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1510.0,1305.0,1627.0,1407.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1606.0,1238.0,1762.0,1334.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1387.0,1408.0,1506.0,1538.0,Tree
Las19_sliced_0_0_2000_2000.jpg,1341.0,1506.0,1412.0,1614.0,Tree
